pos_ft,acceleration
0.08836,-0.003908429
0.08836,0
0.08836,-0.003417
0.08836,-0.003837
0.08836,-0.003837
0.08836,-0.003817
0.08836,-0.004057
0.08836,-0.003769
0.09327,-0.003310333
0.09327,-0.002579353
0.09327,0
0.09327,-0.001705
0.09327,-0.001705
0.09327,0
0.09327,-0.001497
0.09327,-0.001497
0.09817,-0.001097
0.09817,-0.000377
0.09817,-0.000377
0.09817,0.001588714
0.09817,0.003567
0.09817,0.003567
0.09817,0.003567
0.09817,0.005703
0.09817,0.005703
0.10308,0.005703
0.10308,0
0.10308,0.006467444
0.10308,0.006467444
0.10308,0.006823
0.10308,0.006455
0.10308,0.006015
0.10308,0.006015
0.10799,0.005223
0.10799,0.005223
0.10799,0
0.10799,0.003959
0.10799,0.003959
0.10799,0
0.10799,0.003623
0.1129,0.001223
0.1129,0.001223
0.1129,0.001223
0.1129,0.001543
0.11781,0.001543
0.11781,0.001303
0.11781,0
0.11781,0.001329667
0.11781,0.001543
0.11781,0.003303
0.11781,0.004840778
0.11781,0.005223
0.12272,0
0.12272,0.005303
0.12272,0.005303
0.12272,0
0.12272,0.004759
0.12272,0.004759
0.12272,0
0.12272,0
0.12763,0.003143
0.12763,0.003143
0.12763,0
0.12763,0.002743
0.12763,0.002891571
0.12763,0
0.12763,0.002015
0.12763,0.002015
0.12763,0
0.13254,0.000519
0.13254,0.000519
0.13254,0
0.13254,0.000156333
0.13254,-0.000217
0.13254,-0.002317
0.13254,-0.002073
0.13254,-0.0044406
0.13744,-0.0033847
0.13744,0
0.13744,-0.0057844
0.13744,-0.0057844
0.13744,-0.0048888
0.13744,-0.0048888
0.13744,0
0.13744,0
0.14235,-0.002030222
0.14235,-0.002777
0.14235,-0.001577
0.14235,-0.000697
0.14235,0.000583
0.14726,0.000551
0.14726,0.000551
0.14726,0
0.14726,-0.000457
0.14726,-0.000457
0.14726,-0.000457
0.14726,-0.000617
0.15217,-0.000617
0.15217,-0.000277
0.15217,0
0.15217,-0.000457
0.15217,-0.000633
0.15217,-0.000403667
0.15217,-0.000403667
0.15217,-0.000497
0.15217,0
0.15708,-0.000537
0.15708,-0.000377
0.15708,-0.000377
0.15708,-0.000554778
0.15708,-0.000713
0.15708,-0.000377
0.15708,-0.000713
0.15708,-0.000713
0.16199,0
0.16199,-0.000969
0.16199,-0.000969
0.16199,0
0.16199,-0.000377
0.16199,-0.000377
0.16199,-0.000185
0.16199,-0.000185
0.1669,0.000103
0.1669,0.000686529
0.1669,0
0.1669,0.001543
0.1669,0.001543
0.1669,0
0.1669,0.001415
0.1669,0.001415
0.17181,0
0.17181,0.000263
0.17181,4.97E-05
0.17181,0
0.17181,0
0.17181,-0.001561
0.17181,-0.001561
0.17181,-0.002873
0.17671,-0.002873
0.17671,-0.002953
0.17671,-0.001305
0.18162,0
0.18162,-0.001337
0.18162,0.002503
0.18162,0.002503
0.18162,0.003063
0.18162,0.003409667
0.18162,0
0.18162,0.003511
0.18162,0.003511
0.18653,0
0.18653,0
0.18653,0.003516333
0.18653,0.003543
0.18653,0.002983
0.18653,0.002391
0.18653,0.001943
0.18653,0
0.19144,0.001959
0.19144,0.001959
0.19144,0
0.19144,0.001095
0.19144,0.001095
0.19144,0
0.19144,0.000503
0.19144,0.000823
0.19635,0.000823
0.19635,0
0.19635,-5.70E-05
0.19635,-0.000811286
0.19635,0
0.19635,-0.001305
0.19635,-0.001209
0.19635,0
0.20126,-0.001241
0.20126,-0.001241
0.20126,0
0.20126,-0.001577
0.20126,-0.001257
0.20126,-0.000793
0.20126,-0.000377
0.20126,-0.000697
0.20617,-0.000137
0.20617,0.000135
0.20617,0.000135
0.20617,0.000135
0.20617,0
0.20617,0.000695
0.20617,0.000695
0.20617,0
0.21108,-0.000457
0.21108,0.000183
0.21108,0.001143
0.21108,0
0.21108,0.001783
0.21108,0.001783
0.21108,0
0.21598,0.002551
0.21598,0.002551
0.21598,0
0.21598,0.003089667
0.21598,0.003143
0.21598,0.003623
0.21598,0.002311
0.21598,0.002311
0.22089,0.0027109
0.22089,0
0.22089,0.001743
0.22089,0.000583
0.22089,0
0.22089,0.00262295
0.22089,0.00262295
0.2258,0
0.2258,0.000354429
0.2258,0.000354429
0.2258,0.001623
0.2258,0.001383
0.2258,-7.30E-05
0.2258,-7.30E-05
0.2258,-0.002057
0.23071,-0.002057
0.23071,-0.002057
0.23071,-9.00E-06
0.23071,-9.00E-06
0.23071,-9.00E-06
0.23071,0
0.23071,-0.001137
0.23562,-6.93E-05
0.23562,0
0.23562,0.000743
0.23562,0.001975
0.23562,0
0.23562,0.002663
0.23562,0.003303
0.24053,0
0.24053,0.003223
0.24053,0.003223
0.24053,0.003463
0.24053,0.004087
0.24053,0.003815
0.24544,0.002903
0.24544,0.002623
0.24544,0.000751
0.24544,0.000751
0.24544,0.000751
0.24544,0
0.25035,-0.001529
0.25035,-0.001529
0.25035,0
0.25035,-0.002345
0.25035,-0.002905
0.25035,-0.002905
0.25035,-0.002969
0.25525,-0.002969
0.25525,0
0.25525,-0.002681
0.25525,-0.002681
0.25525,0
0.25525,-0.002297
0.25525,-0.002297
0.26016,-0.002365571
0.26016,-0.002393
0.26016,-0.002393
0.26016,-0.001545
0.26016,0
0.26016,-0.000505
0.26507,-0.000110333
0.26507,0
0.26507,0.000743
0.26507,0.001467211
0.26507,0
0.26507,0.002343
0.26507,0.002267211
0.26998,0
0.26998,0.000983
0.26998,0.000983
0.26998,0
0.26998,-0.000297
0.26998,-0.000297
0.27489,-0.001310333
0.27489,-0.003241
0.27489,-0.003241
0.27489,-0.003241
0.27489,0
0.27489,-0.003237
0.2798,-0.002297
0.2798,-0.002297
0.2798,0.000692474
0.2798,0.004263
0.2798,0
0.28471,0
0.28471,0.010182
0.28471,0.011718
0.28471,0
0.28471,0.011622
0.28962,0.011035333
0.28962,0.011035333
0.28962,0.010182
0.28962,0.010182
0.28962,0.008312684
0.28962,0
0.29452,0.005591
0.29452,0.005031
0.29452,0
0.29452,0.0065827
0.29452,0.0065827
0.29452,0
0.29943,0.008536286
0.29943,0.008536286
0.29943,0.009328667
0.29943,0.010662
0.29943,0.010662
0.30434,0.013302
0.30434,0.013362
0.30434,0.012822
0.30434,0.012822
0.30434,0.012694
0.30434,0.012694
0.30925,0
0.30925,0.012315333
0.30925,0.012315333
0.30925,0.01311
0.30925,0.01311
0.31416,0.013046
0.31416,0.013638
0.31416,0
0.31416,0.014918
0.31416,0.015814
0.31907,0
0.31907,0.02150145
0.31907,0.02150145
0.31907,0
0.31907,0.028597
0.31907,0.028597
0.32398,0
0.32398,0.0345484
0.32398,0.0345484
0.32398,0.0375721
0.32398,0.0366444
0.32889,0.0366444
0.33379,0.0194617
0.33379,0
0.33379,0.014022
0.3387,0.017186222
0.3387,0.015604222
0.3387,0.0171419
0.3387,0.02206125
0.3387,0.023967667
0.34361,0.0311568
0.34361,0.0311568
0.34361,0.0311568
0.34361,0
0.34852,0.040676
0.34852,0.040676
0.34852,0.053379
0.34852,0.055459
0.34852,0.057139
0.35343,0.057139
0.35343,0.054163
0.35343,0.054163
0.35343,0
0.35343,0.0414921
0.35834,0.0414921
0.35834,0
0.35834,0.030421
0.35834,0.030421
0.36325,0.025541
0.36325,0.019755
0.36325,0.019755
0.36325,0.012246
0.36325,0
0.36816,0.009702
0.36816,0.008612
0.36816,0
0.36816,0.01047
0.37306,0.01047
0.37306,0
0.37306,0.013782
0.37306,0.013782
0.37306,0.019667571
0.37797,0.023141
0.37797,0.025772111
0.37797,0.031157
0.37797,0.033541
0.38288,0.033541
0.38288,0.035549111
0.38288,0
0.38288,0.038052
0.38779,0.038052
0.38779,0
0.38779,0.0348005
0.3927,0.030869
0.3927,0.030869
0.3927,0.026645
0.3927,0.02058155
0.39761,0.02058155
0.39761,0
0.39761,0.014198
0.39761,0.014198
0.40252,0
0.40252,0.012422
0.40252,0.012422
0.40252,0.009862
0.40743,0.009862
0.40743,0.008502
0.40743,0.006183
0.40743,0
0.41233,0.0086965
0.41233,0.013568667
0.41233,0
0.41233,0.017782
0.41724,0.017782
0.41724,0
0.41724,0.020262
0.41724,0.023877
0.42215,0.026581
0.42215,0.028385444
0.42215,0.027999182
0.42215,0.027999182
0.42706,0.027301
0.42706,0.027887667
0.42706,0
0.42706,0.028693
0.43197,0.028693
0.43197,0
0.43197,0.029701
0.43688,0.029701
0.43688,0.031118143
0.43688,0.0361
0.43688,0.038317143
0.44179,0.043090769
0.44179,0
0.44179,0.04522
0.44179,0.047388889
0.4467,0
0.4467,0.04901105
0.4467,0.04901105
0.4516,0
0.4516,0.04674
0.4516,0.04674
0.45651,0.041524
0.45651,0.041524
0.46142,0.03786
0.46142,0.03786
0.46142,0.036562222
0.46142,0.03514
0.46633,0.03514
0.46633,0.030277
0.46633,0.028645
0.47124,0.027557
0.47124,0.026778333
0.47124,0
0.47124,0.029541
0.47615,0.029541
0.47615,0
0.47615,0.03908425
0.48106,0.03908425
0.48106,0
0.48106,0.0465
0.48106,0.0465
0.48597,0.049196429
0.48597,0.051299
0.48597,0.053813286
0.49087,0.052323
0.49087,0
0.49087,0.0514751
0.49578,0.0514751
0.49578,0.0455719
0.49578,0.0455719
0.50069,0.041908
0.50069,0
